id,proper_name,distance,mass,radius
0,0.000−26.74,Sun,,0.000015813
1,0.001−1.46,Sirius,α CMa,0008.6
2,0.003−0.74,Canopus,α Car,0310
3,0.004−0.27,Alpha Centauri,α Cen,0004.4
4,0.005−0.05,Arcturus,α Boo,0037
5,0.03,Vega,α Lyr,0025
6,0.08,Capella,α Aur,0043
7,0.13,Rigel,β Ori,0860
8,0.34,Procyon,α CMi,0011.4
9,0.45,Betelgeuse,α Ori,[1]
10,0.46,Achernar,α Eri,0144
11,0.61,Hadar,β Cen,0390
12,0.76,Altair,α Aql,0017
13,0.76,Acrux,α Cru,0320
14,0.86,Aldebaran,α Tau,0065
15,0.96,Antares,α Sco,0600
16,0.97,Spica,α Vir,0260
17,1.14,Pollux,β Gem,0034
18,1.16,Fomalhaut,α PsA,0025
19,1.25,Deneb,α Cyg,"2,600"
20,1.25,Mimosa,β Crucis,0350
21,1.39,Regulus,α Leo,0077
22,1.50,Adhara,ε CMa,0430
23,1.62,Shaula,λ Sco,0700
24,1.62,Castor,α Gem,0052
25,1.64,Gacrux,γ Cru,0088
26,1.64,Bellatrix,γ Ori,0240
27,1.65,Elnath,β Tau,0130
28,1.69,Miaplacidus,β Car,0110
29,1.69,Alnilam,ε Ori,"2,000"
30,1.72,Gamma Velorum,"γ1,2 Vel","01,100"
31,1.74,Alnair,α Gru,0101
32,1.77,Alioth,ε UMa,0081
33,1.77,Alnitak,ζ Ori,01050
34,1.79,Dubhe,α UMa,0120
35,1.80,Mirfak,α Per,0590
36,1.82,Wezen,δ CMa,"1,600"
37,1.84,Sargas,θ Sco,0270
38,1.85,Kaus Australis,ε Sgr,0140
39,1.86,Avior,ε Car,0630
40,1.86,Alkaid,η UMa,0104
41,1.90,Menkalinan,β Aur,081
42,1.91,Atria,α TrA,0390
43,1.92,Alhena,γ Gem,0109
44,1.94,Peacock,α Pav,0180
45,1.96,[2],δ Vel,0080
46,1.98,Mirzam,β CMa,0500
47,1.98,Polaris,α UMi,0430
48,2.00,Alphard,α Hya,0180
49,2.23,Mintaka,δ Ori,01200
50,2.42,Scheat,β Peg,0196
51,2.98,Almaaz,ε Aur,0653
52,3.35,Rasalgethi,α Her,0360
53,3.50,Tau Ceti,τ Cet,011.9
54,3.56,Delta Pavonis,δ Pav,019.92
55,3.74,Ran,ε Eri,010.48
56,3.83,V382 Carinae,Car,"08,900"
57,4,Eta Carinae,η Car,"07,500"
58,4.07,Delta Cephei,δ Cep,0887
59,4.08,Mu Cephei,μ Cep,"06,000"
60,4.09,Titawin,υ And,044.25
61,4.1,Rho Cassiopeiae,ρ Cas,"08,154"
62,4.82,P Cygni,P Cyg,"05,545"
63,4.86,La Superba,CVn,"01,000"
64,4.91,VV Cephei,Cep,"04,900"
65,5.20,61 Cygni,Cyg,011.41
66,5.4,R Doradus,Dor,0178
67,5.47,Polaris Australis,Oct,0281
68,5.71,R Coronae Borealis,Bor,"04,566"
69,5.88,54 Piscium,Psc,036.1
70,6.57,Mira,ο Ceti,0300
71,6.65,RW Cephei,Cep,"014,000"
72,6.67,Lacaille 8760,Mic,012.87
73,6.75,V838 Monocerotis,Mon,"019,896"
74,7.20,HD 140283,Lib,0202
75,7.4,II Pegasi,Peg,0130
76,8.05,VY Canis Majoris,CMa,"03,900"
77,8.3,Pistol Star,Sgr,"025,000"
78,8.6,S Doradus,Dor,"0169,000"
79,8.9,UY Scuti,Sct,"05,100"
80,9.5,Barnard's Star,Oph,05.98
81,11.13,HE 1523-0901,Lib,"010,000"
82,11.13,Proxima Centauri,Cen,04.25
83,11.71,KIC 8462852,Cyg,"01,470"
84,12.23,R136a1,Dor,"0163,000"
85,12.78,Melnick 42,Dor,"0163,000"
86,14.10,WR 102,Sag,"018,134"
87,14.38,VFTS 352,Dor,"0164,000"
88,14.68,YBP 1194,Cnc,"02,772"
89,14.71,Gliese 1214,Oph,047.5
90,16.20,Luhman 16,Vel,06.50
91,16.6,NML Cygni,Cyg,"05,251"
92,17.30,VB 10,Aql,018.72
93,18.46,WOH G64,Dor,"0163,000"
94,18.80,TRAPPIST-1,Aqr,039.6
95,21.05,2MASS J0523-1403,Lep,040.3
96,25,WISE 0855−0714,Hya,07.27
97,28.4,Icarus,Leo,"014,400,000,000"
